,Unnamed: 0,Unnamed: 0.1,ordensatscan,ordenstata,cod_munici,nombremunicipio,cod_deparata,departamento,cod_region,region,casos_,fecha,año,periodo,month,bimestre,mes,mmyy,danemes,codepisodioONI,ONI,intensidadONI,codintensidadONI,antropica,bosques,cultipermanentes,cultitransitorios,herbazales,mosaico,pastos,vegetasecundaria,zonasacuaticas,otrascoberturas,arido,seco,humedo,pluvial,msnm,minmsnm,maxmsnm,rangomsnm,deforestacion,cuerposdeagua,zonasinundables,zonassusceptiblesdeinundacin,temppromedio,mintemperatura,maxtemperatura,cmprecipitaprom,cmminprecipitacion,cmmaxprecipitacion,coberturaeducacion,saberpro,analfabetismo,mortalidadinfantil,vacunacion,acueducto,deficitviviendacualitativo,deficitviviendacuantitativo,dimencalidaddevida,pob_resto/pob_total,densidadpoblacion,crecimipoblacion,penetracioninternet,dimenurbana,ingresotributario,ingresosmunicipales,dispariedadeconomica,ipm,dimeneconomica,homicidios100k,secuestros100k,hurtos100k,coca,dimseguri,Temperatura,Precipitación,AltTemp,AltPrec,total_poblacion,PromedioTemp,PromedioPrec
15010,8001011,15010,11346,15011,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/11/2007,2007,11,nov,6,11,nov-07,8001011,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.68435097,148.5961151,0.725894094,1.1048568490000001,1162952,26.9584579467773,134.493545532227
15011,8001012,15011,12468,15012,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/12/2007,2007,12,dec,6,12,Dec-07,8001012,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.33495522,43.79330444,0.286045551,1.302146792,1162952,27.0489101409912,33.631618499755895
15012,8001013,15012,13590,15013,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/01/2008,2008,13,jan,1,1,Jan-08,8001013,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.67650795,17.18036079,0.69202745,1.260233521,1171117,26.9844818115234,13.6326808929443
15013,8001014,15013,14712,15014,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/02/2008,2008,14,feb,1,2,feb-08,8001014,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.91485023,31.93746185,0.668507576,2.093432903,1171117,27.2463436126709,15.256024360656701
15014,8001015,15014,15834,15015,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/03/2008,2008,15,mar,2,3,mar-08,8001015,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.93502235,66.60499573,0.30981919199999997,2.714762926,1171117,27.6252040863037,24.5343704223633
15015,8001016,15015,16956,15016,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/04/2008,2008,16,apr,2,4,Apr-08,8001016,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,28.04982948,103.9629593,0.090360753,1.632156849,1171117,27.959468841552702,63.6966705322266
15016,8001017,15016,18078,15017,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/05/2008,2008,17,may,3,5,may-08,8001017,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.38204384,144.8551788,-0.320919424,1.02500701,1171117,27.7029628753662,141.321151733398
15017,8001018,15017,19200,15018,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/06/2008,2008,18,jun,3,6,jun-08,8001018,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,28.37960243,140.9410858,0.728990316,1.078662276,1171117,27.650611877441396,130.662841796875
15018,8001019,15018,20322,15019,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/07/2008,2008,19,jul,4,7,jul-08,8001019,1,Ni¤a,Moderada,6,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,28.14037514,138.4023438,0.452352405,1.260059714,1171117,27.6880226135254,109.837928771973
15019,8001020,15019,21444,15020,8001,"BARRANQUILLA (Distrito Especial, Industrial y Portuario)",8,ATLANTICO,3,Caribe,0,01/08/2008,2008,20,aug,4,8,Aug-08,8001020,0,Neutro,Ninguna,0,56.44020844,11.60792255,0.0,0.0,2.011998892,11.90631866,10.86782455,0.0,5.572889328,0.29590109,0.0,94.42599487,4.2770648,0.0,100.0,100,100,0,0.21162124,6.261384487000001,5.6516203879999996,11.91300488,26.89999962,26.89999962,26.89999962,87.57807922,71.86035156,0.050700000999999995,0.46406877,48.20426559,0.14329908800000002,9.890000342999999,0.966425419,0.1228,0.151600003,0.454950005,0.458664805,0.730688572,0.022362383,,0.262554944,0.905240238,,0.116346925,0.37200069399999997,0.281546295,0.746580184,0.249893174,483.54327390000003,0.0,0.766692638,0.665019155,27.38918495,197.80513,-0.164831161,1.390781164,1171117,27.554016113281197,142.225921630859
